sheet_name,row_index,chapter,subchapter,code_article,product_name,unite,quantite,matched_page,matched_pdf,brand,specs,matched_excerpt,match_confidence
PL,22,,Tube en PPR,3.1.2.2.1.1,PPR diamètre Ø20,ML,3707.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés, ils seront notamment au mortier de ciment dans les lieux humides. Les percements et scellements sont interdits dans des ouvrages ayant une étanchéité","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,23,,Tube en PPR,3.1.2.2.1.2,PPR diamètre Ø25,ML,2134.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,Tube en PPR diamètre Ø25,"3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,24,,Tube en PPR,3.1.2.2.1.3,PPR diamètre Ø32,ML,4323.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,Tube en PPR diamètre Ø32,"3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,25,,Tube en PPR,3.1.2.2.1.4,PPR diamètre Ø40,ML,2618.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés, ils seront notamment au mortier de ciment dans les lieux humides. Les percements et scellements sont interdits dans des ouvrages ayant une étanchéité","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,26,,Tube en PPR,3.1.2.2.1.5,PPR diamètre Ø63,ML,187.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,Tube en PPR diamètre Ø63,"3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,27,,Tube en PPR,3.1.2.2.1.6,PPR diamètre Ø75,ML,83.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés, ils seront notamment au mortier de ciment dans les lieux humides. Les percements et scellements sont interdits dans des ouvrages ayant une étanchéité","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,29,,Tube en PER,3.1.2.2.2.1,PER Ø13/16,ML,7502.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Fourreaux Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la fonte. Le diamètre du fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du revêtement de sol. Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage magnésien","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,30,,Tube en PER,3.1.2.2.2.2,PER Ø16/20,ML,2959.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Tube PER Ø16x20 (diamètre extérieur 16mm, épaisseur 2mm), matériau polyéthylène réticulé (PER), adapté aux réseaux d'eau (froid/chaud)","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,31,,Tube en PER,3.1.2.2.3,Coffret de distribution EF/ECS,U,346.0,39,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,ACOME,"Collecteur en laiton, vanne d’arrêt 1/4 de tour en amont (diamètre identique au collecteur), vannes d’arrêt à boisseau sphérique 1/4 de tour en laiton chromé (diamètre adapté aux tubes PER), raccords/adaptateurs pour tubes polyéthylène, étiquettes Dilophane gravées","3.1.2.2.3  COFFRET DE DISTRIBUTION EF/ECS
Fourniture et mise en œuvre d’un collecteur de distribution en laiton de marque ACOME ou
équivalent comprenant :
  1 Coffret
  1 vanne d’arrêt 1/4 de tour en amont du collecteur et aura le même diamètre que le
collecteur.
  Vannes d’arrêt pour chaque départ à boisseau sphérique 1/4 de tour en laiton chromé de
diamètre approprié aux tubes.
 Un ensemble de raccords et adaptateurs pour tubes en polyéthylène.
  Etiquettes Dilophane gravées pour identifier chaque départ.",0.99
PL,33,,Vanne d'arrêt,3.1.2.2.4.1,Ø32,U,148.0,45,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,VITRA,"Vanne d'arrêt Ø32, finition matt black","3.1.4.1.2  W-C SUSPENDU
Pose d’un WC suspendu comprenant :
  Cuvette suspendue SENTO CUVETTE SUSPENDUE WHITE RIM-EX de marque VITRA
 SENTO ABATTANT SLIM WHITE SOFT CLOSE de marque VITRA réf : 120-003-009
ou équivalent.
AUTOPORTEUR SLIM 3/6L EPAISSEUR : 9 CM de marque VITRA réf : 738-5800-01 ou
équivalent.
marque VITRA réf : 740-2211 ou équivalent.
 DOUCHETTE WC MATT BLACK marque VITRA réf : A4574736 ou équivalent.
  ORIGIN ROBINET D'ARRET MATT BLACK de marque VITRA réf : A4521436WTC ou
équivalent.",0.99
PL,34,,Vanne d'arrêt,3.1.2.2.4.2,Ø40,U,177.0,45,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,VITRA,WC suspendu comprenant |  Cuvette suspendue SENTO CUVETTE SUSPENDUE WHITE RIM-EX |  SENTO ABATTANT SLIM WHITE SOFT CLOSEréf : 120-003-009 ou équivalent | AUTOPORTEUR SLIM 3/6L EPAISSEUR : 9 CMréf : 738-5800-01 ou équivalent |  DOUCHETTE WC MATT BLACKréf : A4574736 ou équivalent |  ORIGIN ROBINET D'ARRET MATT BLACKréf : A4521436WTC ou équivalent,"3.1.4.1.2  W-C SUSPENDU
Pose d’un WC suspendu comprenant :
  Cuvette suspendue SENTO CUVETTE SUSPENDUE WHITE RIM-EX de marque VITRA
 SENTO ABATTANT SLIM WHITE SOFT CLOSE de marque VITRA réf : 120-003-009
ou équivalent.
AUTOPORTEUR SLIM 3/6L EPAISSEUR : 9 CM de marque VITRA réf : 738-5800-01 ou
équivalent.
marque VITRA réf : 740-2211 ou équivalent.
 DOUCHETTE WC MATT BLACK marque VITRA réf : A4574736 ou équivalent.
  ORIGIN ROBINET D'ARRET MATT BLACK de marque VITRA réf : A4521436WTC ou
équivalent.",0.99
PL,35,,Vanne d'arrêt,3.1.2.2.5,Anti-bélier,U,4.0,40,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"anti-bélier à la tête des colonnes montantes, y compris toutes sujétions de fournitures et de pose","3.1.2.2.5  ANTI-BELIER
Fourniture et pose d'un anti-bélier à la tête des colonnes montantes, y compris toutes sujétions de
fournitures et de pose.",0.512
PL,36,,Vanne d'arrêt,3.1.2.2.6,Robinet de puisage,U,40.0,40,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,laiton chromé,"3.1.2.2.6  ROBINET DE PUISAGE
Fourniture  et pose d’un robinet de puisage en laiton chromé, y compris toutes sujétions de
fourniture et pose.",0.728
PL,40,,Tube en PVC,3.1.3.1.1.1,Ø40,ML,682.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Fourreaux Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la fonte. Le diamètre du fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du revêtement de sol. Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage magnésien","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,41,,Tube en PVC,3.1.3.1.1.2,Ø50,ML,314.0,14,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,KLERMETIC,"Tube PVC Ø50, évacuation eaux usées, pente ≥2cm/m, support colliers PVC ou acier galvanisé démontables espacés ≤1m, raccordements joints type KLERMETIC","3.1.5.5 Vannes
Les vannes employées seront à boisseau sphérique et à raccord union jusqu'au diamètre 50/60, à
bride en fonte pour les diamètres supérieurs.
3.1.5.6 Evacuation eaux usées et vannes
Toutes les évacuations des appareils sanitaires jusqu'aux regards prévus par le Gros Œuvre seront
réalisées en tuyauteries P.V.C lorsqu'elles sont protégée, en fonte salubre quant elles sont en
apparent, ainsi que les collecteurs en sous-sol.
La pente des collecteurs sera d'au moins 2cm par m.
Elles seront supportées par des colliers en P.V.C. ou en acier galvanisé démontable espacé de 1m,
les raccordements aux évacuations seront munis de bouchons de dégorgement permettant un
tringlage facile.
Les raccordements aux culottes de chutes et regards se feront par joints type KLERMETIC ou",0.99
PL,42,,Tube en PVC,3.1.3.1.1.3,Ø75,ML,79.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Tube en PVC Ø75, fourreau diamètre ≥ Ø85 (Ø75 + 1cm), saillie ≥ 0,5cm (mur/plafond) ou 3cm (sol), matériau plastique autorisé (hors fonte)","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,43,,Tube en PVC,3.1.3.1.1.4,Ø100 et Ø110,ML,5148.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Tube en PVC Ø100 | Ø110; fourreau en cuivre ou plastique (diamètre ≥ canalisation + 1cm); saillie ≥ 0,5cm (mur/plafond) | ≥ 3cm (sol); interdit dans ouvrages étanches","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,44,,Tube en PVC,3.1.3.1.1.5,Ø125,ML,1307.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Fourreau en plastique (PVC) pour tube Ø125, diamètre intérieur ≥ Ø135 (1cm de plus que la canalisation), saillie ≥ 0,5cm sur mur/plafond, ≥ 3cm sur sol, interdit dans ouvrages étanchés","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,45,,Tube en PVC,3.1.3.1.1.6,Ø160,ML,1100.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Tube en PVC, diamètre Ø160, fourreau en plastique (ou cuivre) avec diamètre ≥ Ø170, saillie ≥ 0,5cm (mur/plafond) ou ≥ 3cm (sol)","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,46,,Tube en PVC,3.1.3.1.1.7,Ø200,ML,226.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Tube en PVC, diamètre Ø200, fourreau en plastique (ou cuivre) avec diamètre ≥ Ø210, saillie ≥ 0,5 cm (mur/plafond) ou 3 cm (sol)","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
PL,47,,Tube en PVC,3.1.3.1.1.8,Ø250,ML,184.0,15,422-DOA365-OMT-SOHAUS.IMM.CD-DCE-L3.FLU-PIECES ECRITES-18.02.2025.pdf,,"Fourreaux Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la fonte. Le diamètre du fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du revêtement de sol. Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage magnésien","3.1.5.9 Percements, scellements
Les passages seront des trous cylindriques à base circulaire ou rectangulaire qui ne devront nuire
en rien à la résistance des éléments porteurs.
La nature des scellements sera appropriée aux ouvrages auxquels ils sont destinés,  ils seront
notamment au mortier de ciment dans les  lieux humides. Les percements et scellements sont
interdits dans des ouvrages ayant une étanchéité.
3.1.5.10 Fourreaux
Des fourreaux protégeront, dans la traversée des murs et planchers, toutes les canalisations, sauf la
fonte. Le diamètre du  fourreau aura 1cm au moins de plus que le diamètre de la canalisation, il
fera saillie au moins de 0,5cm sur le parement du mur ou sur plafond et de 3cm sur le niveau du
revêtement de sol.  Il sera obligatoirement en cuivre, ou en plastique dans le cas de dallage
magnésien.",0.99
